Ingreso mensual,Historial crediticio,Edad,Número de deudas activas,Relación cuota/ingreso,Tiempo en trabajo actual,Aprobación
9490.142459033697,727,68,3,0.347910336481924,24.071880916608976,1
7585.207096486446,604,55,4,0.27829260177670756,25.842541382865523,1
9943.065614302077,616,37,9,0.11095474206706071,4.1190009814671065,1
12569.089569224076,308,74,4,0.3659848153897006,28.571602571961737,1
7297.5398758299925,372,46,7,0.648480772722713,9.86467853545828,0
7297.589129152459,658,68,9,0.07603842738295141,19.8694121619216,0
12737.638446522174,522,21,7,0.23944959377096597,22.554754378700434,1
10302.304187458725,715,72,1,0.18490160853370724,24.358387039136502,1
6591.576842195143,669,24,6,0.20479532488270258,28.372491066777904,0
9627.680130757893,563,45,7,0.6404824587215939,9.387586440864679,0
6609.746921562613,617,45,5,0.35424488525228853,25.755193636546636,0
6602.810739289229,383,21,4,0.3530946184108822,3.9506071030862113,0
8725.886814698102,617,39,8,0.5443741675959335,21.15122719060778,0
2260.159266026606,410,29,2,0.15041993260320174,22.259331885419577,1
2825.246502460902,550,62,9,0.36672248016503295,20.331697236039613,1
6313.137412277082,682,20,3,0.3294903891786888,7.5694420840545895,0
4961.506638996729,306,39,8,0.43799194885532644,26.191294410456102,0
8942.74199778582,758,61,5,0.699712507112785,5.06575390111185,1
5275.927773436368,383,19,7,0.5501417811533306,1.6090437456249251,0
3763.088895994126,507,41,6,0.30861270696132764,21.523949718357365,0
12396.946306764661,689,51,1,0.5879094839781305,14.26427145698201,1
7322.671098540393,613,44,2,0.16096043615311212,25.47294059876028,1
8202.584614063771,321,72,0,0.06980139610082409,11.501914231747769,1
3725.75544135963,709,58,8,0.1828914421017775,5.048357655231385,1
6366.851826424452,814,18,6,0.27126751147426875,25.093265774096093,1
8332.767769129598,426,25,0,0.3818774923487139,16.46728894920215,0
4547.0192677330915,313,40,2,0.44983394135177984,5.675873771710647,0
9127.094055037016,311,55,3,0.6418937161893741,21.611519957593373,0
6198.083930243585,386,23,3,0.38140510620779744,15.333409154685016,0
7124.91875062017,823,39,4,0.37582916900672403,18.129389467209595,1
6194.880163311809,836,42,2,0.08265795638493839,13.826950146197456,1
13556.834553526813,600,35,2,0.07269250922654548,24.86126951454019,1
7959.508325786198,542,34,0,0.4082539752456418,24.886881470491495,1
4826.867213132298,421,29,6,0.33481609861142386,21.281664654731586,0
10467.634736309567,446,23,9,0.595467256737194,3.1620413218938683,0
4337.469050086933,655,43,0,0.15444173006269935,25.165615857122067,0
8626.590785014267,608,44,1,0.06623158037608223,20.130389415987295,1
2120.989628360673,587,25,3,0.34187519915458175,20.910724980128986,0
4015.4418533047083,606,36,3,0.20436106188896735,10.88948521211615,0
8590.583707607371,848,59,4,0.08224934267024434,26.3783866847102,1
